"Latitude","Longitude","Height"
50.04583,-112.4708,817
50.04583,-112.4208,817
50.04583,-112.3708,823
50.04583,-112.3208,805
50.04583,-112.2708,799
50.04583,-112.2208,792
50.04583,-112.1708,786
50.04583,-112.1208,774
50.04583,-112.0708,780
50.04583,-112.0208,774
50.04583,-111.9708,768
50.04583,-111.9208,792
50.04583,-111.8708,799
50.04583,-111.8208,786
50.04583,-111.7708,762
50.04583,-111.7208,750
50.04583,-111.6708,762
50.04583,-111.6208,768
50.04583,-111.5708,762
50.04583,-111.5208,768
50.04583,-111.4708,750
50.04583,-111.4208,762
50.04583,-111.3708,768
50.04583,-111.3208,762
50.04583,-111.2708,756
50.04583,-111.2208,792
50.04583,-111.1708,792
50.04583,-111.1208,799
50.04583,-111.0708,701
50.04583,-111.0208,792
50.04583,-110.9708,768
50.04583,-110.9208,701
50.04583,-110.8708,774
50.04583,-110.8208,750
50.04583,-110.7708,701
50.04583,-110.7208,664
50.04583,-110.6708,658
50.04583,-110.6208,738
50.04583,-110.5708,725
50.04583,-110.5208,750
50.04583,-110.4708,762
50.04583,-110.4208,756
50.04583,-110.3708,774
50.04583,-110.3208,792
50.04583,-110.2708,817
50.04583,-110.2208,786
50.04583,-110.1708,786
50.04583,-110.1208,762
50.04583,-110.0708,732
50.04583,-110.0208,725
50.04583,-109.9708,725
50.04583,-109.9208,762
50.04583,-109.8708,744
50.04583,-109.8208,750
50.04583,-109.7708,756
50.04583,-109.7208,732
50.04583,-109.6708,750
50.04583,-109.6208,750
50.04583,-109.5708,744
50.04583,-109.5208,725
50.04583,-109.4708,744
50.04583,-109.4208,744
50.04583,-109.3708,774
50.04583,-109.3208,792
50.04583,-109.2708,774
50.04583,-109.2208,762
50.04583,-109.1708,756
50.04583,-109.1208,744
50.04583,-109.0708,744
50.04583,-109.0208,768
50.04583,-108.9708,756
50.04583,-108.9208,762
50.04583,-108.8708,811
50.04583,-108.8208,835
50.04583,-108.7708,823
50.04583,-108.7208,817
50.04583,-108.6708,805
50.04583,-108.6208,811
50.04583,-108.5708,805
50.04583,-108.5208,823
50.04583,-108.4708,847
50.04583,-108.4208,920
50.04583,-108.3708,896
50.04583,-108.3208,878
50.04583,-108.2708,866
50.04583,-108.2208,805
50.04583,-108.1708,847
50.04583,-108.1208,823
50.04583,-108.0708,799
50.04583,-108.0208,853
50.04583,-107.9708,853
50.04583,-107.9208,853
50.04583,-107.8708,884
50.04583,-107.8208,902
50.04583,-107.7708,896
50.04583,-107.7208,896
50.04583,-107.6708,890
50.04583,-107.6208,878
50.04583,-107.5708,860
50.04583,-107.5208,847
50.04583,-107.4708,866
50.04583,-107.4208,890
50.04583,-107.3708,896
50.04583,-107.3208,896
50.04583,-107.2708,847
50.04583,-107.2208,847
50.04583,-107.1708,847
50.04583,-107.1208,805
50.04583,-107.0708,792
50.04583,-107.0208,762
50.04583,-106.9708,713
50.04583,-106.9208,713
50.04583,-106.8708,713
50.04583,-106.8208,689
50.04583,-106.7708,683
50.04583,-106.7208,683
50.04583,-106.6708,677
